"Rubro","Artículo","Nombre","Bt.LISTA 2","Stock"
"BEBIDAS","99","LECHE DE ALMENDRAS X 1 L","4.826,45","5"
"BEBIDAS","105","LECHE DE COCO EN POLVO X KG","25.578,51","4"
"CARAMELOS","107","CARAMELOS  X  UNIDAD","123,97","0"
"CEREALES","113","ALMOHADITAS 2 SALVADO X KG.","5.115,70","3"
"CEREALES","114","ALMOHADITAS CHOCOLATE X KG.","8.231,41","5"
"CEREALES","116","ALMOHADITAS FRUTILLA X KG.","7.669,42","0"
"CEREALES","117","ALMOHADITAS LIMON X KG.","7.669,42","4"
"CEREALES","118","ANILLOS DE AVENA Y MIEL X KG.","6.991,74","1"
"CEREALES","119","ANILLOS FRUTADOS X KG.","6.305,78","3"
"CEREALES","120","AVENA ARROLLADA GRUESA X KG","2.297,52","3"
"CEREALES","121","AVENA INSTANTÁNEA  X KG","2.289,26","0"
"CEREALES","122","AVENA TRADICIONAL X KG.","2.289,26","3"
"CEREALES","123","BASTONCITO SALVADO TRIGO Y AVENA X KG.","7.636,36","1"
"CEREALES","124","BOLITAS DE CHOCOLATE X KG.","7.206,61","2"
"CEREALES","125","COPOS DE MAIZ C/AZUCAR X KG","3.479,34","2"
"CEREALES","126","COPOS DE MAIZ X KG.","2.826,45","2"
"CEREALES","127","GRANOLA MIX BERRIES X KG","8.669,42","2"
"CEREALES","128","GRANOLA MIX ENERGET X KG","8.669,42","5"
"CEREALES","129","GRANOLA MIX TROPICAL X KG","8.685,95","3"
"CEREALES","130","GRANOLA CON MIEL X KG","9.966,94","15"
"CEREALES","131","QUINOA INFLADA X KG.","9.008,26","0"
"CEREALES","132","TUTUCAS CON AZUCAR X KG","3.636,36","5"
"CEREALES","133","TUTUCAS SIN AZUCAR X KG","3.446,28","3"
"PRODUCTOS CONGELADOS","134","ARANDANOS CONGELADOS X KG","11.396,69","0"
"AZUCAR, CACAO Y REPOSTERIA","136","CHOCOLATE 80%  COBERTURA SEMIAMARGO x kg - COLONIAL","43.917,36","5"
"PRODUCTOS CONGELADOS","137","PIÑA CONGELADA X KG","10.785,12","3"
"SIN CATEGORÍA","152","ARANDANOS DESHIDRATADOS X KG","12.338,84","10"
"SIN CATEGORÍA","155","CHIPS DE BANANA X KG","10.545,45","3"
"SIN CATEGORÍA","156","CIRUELA PRESIDENTE X KG.","13.033,06","0"
"SIN CATEGORÍA","157","CIRUELAS D`AGEN C/CAROZO X KG","7.553,72","0"
"SIN CATEGORÍA","158","CIRUELAS TIERNIZADAS S/C X KG","9.991,74","12"
"SIN CATEGORÍA","160","DATILES DE EGIPTO C/C X KG","6.438,02","6"
"SIN CATEGORÍA","162","HIGOS TIERNIZADOS X KG","11.719,01","4"
"SIN CATEGORÍA","165","MEDALLONES DURAZ.  X KG","12.752,07","3"
"SIN CATEGORÍA","166","PASAS MOROCHA JUMBO  X KG","5.528,93","16"
"SIN CATEGORÍA","167","PASAS RUBIA SIN SLLA X KG","7.173,55","10"
"SIN CATEGORÍA","168","PERAS WILLIAMS X KG","11.487,60","6"
"SIN CATEGORÍA","172","RODAJAS NARANJA DESHIDR X 1 KG","29.958,68","0"
"SIN CATEGORÍA","175","TOMATE SECOS X KG","10.991,74","7"
"DULCES, MIEL Y CHOCOLATES","176","DULCE DE ALCAYOTA X 500 GR","2.462,81","4"
"PALADEAR HOME","182","SALES DE BAÑO","3.305,78","0"
"LINEA GOURMET","188","HIGOS EN ALMIBAR  X 450 GR","4.561,16","6"
"DULCES, MIEL Y CHOCOLATES","191","DULCE DE MEMBRILLO X 500 GR","4.702,48","0"
"DULCES, MIEL Y CHOCOLATES","192","DULCE DE MEMBRILLO X 1 KG","4.206,61","3"
"DULCES, MIEL Y CHOCOLATES","205","MIEL DE ABEJA X 1 kg ""MONTE NATURAL"" - JALEA","5.173,55","1"
"DULCES, MIEL Y CHOCOLATES","206","MIEL DE ABEJA X 250 g ""MONTE NATURAL"" - JALEA","2.322,31","13"
"DULCES, MIEL Y CHOCOLATES","207","MIEL DE ABEJA X 500 g ""MONTE NATURAL"" - JALEA","3.297,52","14"
"ENCURTIDOS","215","AJIES DULCES X 110 GR","2.743,80","2"
"ENCURTIDOS","217","AJIES PICANTES X 110 GR","2.743,80","4"
"ENCURTIDOS","218","ALCAPARRAS X 100 GR","5.611,57","3"
"ENCURTIDOS","219","CHUCRUT X 600 GR","7.512,40","6"
"ENCURTIDOS","221","CORAZON DE  ALCAUCIL CONDIM X 330 GR","5.950,41","0"
"ENCURTIDOS","223","BERENJENAS CONDIM.X 200 GR","3.330,58","2"
"ENCURTIDOS","226","CORAZONES DE ALCAUCIL X 300 GR","5.958,68","6"
"ENCURTIDOS","227","PEPINILLOS EN VIN. X 200 GR","3.008,26","3"
"ENCURTIDOS","230","PEPINOS AGRID X 200 GR","3.198,35","0"
"ENCURTIDOS","235","PICKLES MIXTOS X 200 GR","2.297,52","8"
"ENCURTIDOS","237","PIMIENTOS ENTEROS X 200 GR","3.537,19","4"
"ENCURTIDOS","239","POROTOS CONDIM X 200 GR","3.082,64","2"
"ESPECIAS","242","ADOBO PARA PIZZA X KG.","7.561,98","0"
"ESPECIAS","243","NUEZ MOSCADA ENTERA X KG","37.537,19","0"
"ESPECIAS","244","AJI MOLIDO FINO X KG.","7.140,50","2"
"ESPECIAS","245","AJO EN POLVO","4.909,09","4"
"ESPECIAS","246","AJO GRANULADO X KG.","11.140,50","0"
"ESPECIAS","247","ALBAHACA EN HOJAS X KG","6.859,50","1"
"ESPECIAS","248","ANIS EN GRANO X KG.","9.859,50","0"
"ESPECIAS","249","ANIS ESTRELLADO X KG.","48.157,03","2"
"ESPECIAS","250","AZAFRAN ESPAÑOL X CAPSULA.","2.495,87","1"
"ESPECIAS","251","CANELA EN RAMA X KG","59.041,32","1"
"ESPECIAS","252","CANELA MOLIDA X KG.","11.504,13","3"
"ESPECIAS","253","CARDAMOMO X KG.","110.950,41","0"
"ESPECIAS","254","CEBOLLA EN ESCAMAS X KG.","9.214,88","0"
"ESPECIAS","256","CHIMICHURRI X KG.","8.256,20","0"
"ESPECIAS","257","CLAVO DE OLOR ENTERO X KG.","30.520,66","1"
"ESPECIAS","258","COMINO MOLIDO X KG.","9.198,35","0"
"ESPECIAS","262","CONDIMENTO PARA ARROZ X KG","8.528,93","0"
"ESPECIAS","263","PESTO X KG","8.652,89","0"
"ESPECIAS","264","CORIANDRO ENTERO X KG.","1.950,41","0"
"ESPECIAS","265","CORIANDRO MOLIDO","2.859,50","0"
"ESPECIAS","266","CURCUMA MOLIDA X KG","8.256,20","2"
"ESPECIAS","267","CURRY X KG","10.380,17","1"
"ESPECIAS","268","BICARBONATO DE SODIO X 50 GR","314,05","0"
"ESPECIAS","269","MIX  4 PIMIENTAS","38.148,76","1"
"ESPECIAS","270","SAL MARINA FINA X 500 GR.","2.330,58","5"
"ESPECIAS","271","FINAS HIERBAS X KG.","12.553,72","0"
"ESPECIAS","272","NUEZ MOSCADA MOLIDA X KG.","16.917,35","0"
"ESPECIAS","273","GELATINA SIN SABOR X KG","17.148,76","4"
"ESPECIAS","274","SAL MARINA GRUESA X 500 GR","2.338,84","7"
"ESPECIAS","275","HONGOS SECOS X KG","40.950,41","0"
"ESPECIAS","277","JENGIBRE  MOLIDO X KG.","12.735,54","1"
"ESPECIAS","278","JULIANA SIN PAPA X KG","11.595,04","0"
"ESPECIAS","279","LAUREL EN HOJAS X KG.","20.950,41","0"
"ESPECIAS","280","MACA EN POLVO X KG.","16.925,62","1"
"ESPECIAS","282","MOSTAZA EN GRANOS X KG","5.396,69","3"
"ESPECIAS","285","OREGANO  KG.","6.024,79","2"
"ESPECIAS","286","PEREJIL EN HOJAS X KG.","12.123,97","1"
"ESPECIAS","287","PIMENTON AHUMADO X KG","8.388,43","3"
"ESPECIAS","288","PIMENTON EXTRA X KG","8.314,05","4"
"ESPECIAS","289","PIMENTÓN PICANTE X KG","7.966,94","0"
"ESPECIAS","290","PIMIENTA BCA  EN GRANO X KG","37.528,93","1"
"ESPECIAS","292","PIMIENTA BCA MOLIDA X KG","38.057,85","0"
"ESPECIAS","293","PIMIENTA CAYENA MOLIDA X KG.","9.173,55","0"
"ESPECIAS","294","PIMIENTA NEGRA EN GRANO X KG.","21.371,90","2"
"ESPECIAS","295","PIMIENTA NEGRA MOLIDA X KG","24.818,18","3"
"ESPECIAS","297","PROVENZAL X KG.","11.520,66","0"
"ESPECIAS","298","ROMERO EN HOJAS X KG.","10.322,31","0"
"ESPECIAS","299","SAL DEL HIMALAYA FINA X 1 KG","3.289,26","10"
"ESPECIAS","300","SAL DEL HIMALAYA GRUESA X KG.","3.958,68","3"
"ESPECIAS","302","TOMILLO X KG","8.859,50","0"
"LINEA GOURMET","309","ZAPALLO EN ALMIBAR X 360GR","4.677,69","3"
"HARINAS","313","HARINA DE MAIZ BLANCO","3.109,09","0"
"PRODUCTOS SIN TACC","314","TOSTADITAS DE ARROZ DELICEL ""SIN TACC""","1.223,14","0"
"FRUTOS SECOS","317","ALMENDRA PARTIDA X KG","18.429,75","8"
"FRUTOS SECOS","318","ALMENDRA NONPAREIL  X KG","19.661,16","1"
"FRUTOS SECOS","322","AVELLANAS SIN CASCARA X KG","36.528,93","4"
"FRUTOS SECOS","323","CASTAÑAS CAJÚ VIETNAM  X KG","17.082,65","8"
"FRUTOS SECOS","324","MANI C/CASCARA X KG","4.314,05","3"
"FRUTOS SECOS","327","MIX PATAGONICO X KG","12.776,86","16"
"FRUTOS SECOS","328","MIX TRADICIONAL X KG","5.057,85","7"
"FRUTOS SECOS","329","MIX TROPICAL X KG.","7.785,12","9"
"FRUTOS SECOS","331","NUEZ CUARTILLO X KG","11.289,26","14"
"FRUTOS SECOS","338","NUEZ CUARTOS X KG","12.413,22","21"
"FRUTOS SECOS","340","NUEZ MARIPOSA LIGHT X KG","12.983,47","7"
"FRUTOS SECOS","342","PISTACHOS CON CÁSCARA X KG","33.272,73","6"
"SIN CATEGORÍA","348","FRUTA ESCURRIDA X KG","4.280,99","3"
"SIN CATEGORÍA","351","JENGIBRE GLASEADO X KG","17.404,96","0"
"HARINAS","357","ALMIDON DE MAIZ X KG","1.776,86","0"
"HARINAS","358","FECULA DE MANDIOCA X KG","2.727,27","8"
"HARINAS","359","GERMEN DE TRIGO NATURAL X KG.","1.900,83","4"
"HARINAS","360","GLUTEN DE TRIGO X KG","7.462,81","4"
"HARINAS","361","HARINA DE ALGARROBA X KG","5.652,89","2"
"HARINAS","363","HARINA  DE ALMENDRAS S/ PIEL X KG","22.966,94","4"
"HARINAS","364","HARINA DE ARROZ X KG","1.950,41","2"
"HARINAS","365","HARINA DE AVENA X KG","2.661,16","17"
"HARINAS","367","HARINA DE CHIA X KG.","2.247,93","5"
"HARINAS","368","HARINA DE COCO X KG","7.479,34","6"
"HARINAS","369","HARINA DE GARBANZO X KG","2.008,26","6"
"HARINAS","370","HARINA DE LINO X KG","3.330,58","4"
"HARINAS","372","HARINILLA DE MAIZ","1.272,73","0"
"HARINAS","376","HARINA SOJA DESGR FINA X KG","2.322,31","4"
"HARINAS","377","HARINA INTEGRAL FINA X KG.","1.710,74","14"
"HARINAS","378","PANKO X KG","2.719,01","16"
"HARINAS","380","SALVADO DE AVENA X KG","2.644,63","3"
"HARINAS","381","SALVADO DE TRIGO GRUESO X 1 KG","1.768,60","15"
"HARINAS","382","SEMOLIN DE TRIGO X KG","1.595,04","2"
"HARINAS","383","TEXTURIZADO DE SOJA X KG","2.702,48","3"
"INFUSIONES Y HIERBAS","384","BOLDO X KG","15.429,75","1"
"PALADEAR HOME","385","INFUSOR PARA TE","2.057,85","0"
"INFUSIONES Y HIERBAS","386","MANZANILLA FLOR X KG","24.247,93","0"
"INFUSIONES Y HIERBAS","388","TE ROJO X KG","6.975,21","0"
"LINEA GOURMET","418","CEREZAS AL MARRASCHINO X 170 g ""AGROIANNI""","4.595,04","4"
"LINEA GOURMET","422","CEREZAS AL MARRASCHINO X 330 g ""AGROIANNI""","6.049,59","4"
"LINEA GOURMET","428","HUMO NATURAL X 250 ML","3.454,55","0"
"LINEA GOURMET","443","PASTA ACEITUNAS NEGRAS X 200 g ""AGROIANNI""","2.851,24","6"
"LINEA GOURMET","444","PASTA ACEITUNAS VERDES X 200 g ""AGROIANNI""","2.859,50","5"
"LINEA GOURMET","445","PASTA DE AJI PICANTE X 90 GR","2.900,83","2"
"LINEA GOURMET","448","PASTA DE AJOS X 200 g ""AGROIANNI""","2.338,84","0"
"LINEA GOURMET","458","SALSA AJI PICANTE X 180 CC","4.801,65","8"
"LINEA GOURMET","460","SALSA CESAR 250 GR","4.570,25","2"
"LINEA GOURMET","461","SALSA CHIMICHURRI  X 250 GR","4.570,25","0"
"LINEA GOURMET","464","SALSA DE SOJA X 180 CC","3.504,13","3"
"LINEA GOURMET","467","SALSA JALAPEÑO ROJA X 180 CC","4.942,15","4"
"LINEA GOURMET","468","SALSA JALAPEÑO VERDE X 180 CC","4.942,15","0"
"LINEA GOURMET","470","SALSA TERIYAKI X 250 CC","4.074,38","4"
"LINEA GOURMET","471","TOMATE DESECADOS CONDIMENTADOS X 330 g ""AGROIANNI""","3.818,18","0"
"INFUSIONES Y HIERBAS","472","JAZMIN XKG","104.677,69","0"
"SUPLEMENTOS","487","CARDO MARIANO TINTURA MADRE X 60 CC ""EL NATURALISTA""","7.256,20","0"
"SUPLEMENTOS","492","LEVADURA TITAN EN COPOS X200GR ""SIN TACC""","14.355,37","1"
"PRODUCTOS DE FRIO","493","YOGHURT DURAZNO X 1 L","4.719,01","0"
"PRODUCTOS DE FRIO","494","YOGHURT FRUTILLA X 1 L","4.727,27","4"
"PRODUCTOS DE FRIO","495","YOGHURT NATURAL AZUCARADO X 1 L","4.297,52","6"
"PRODUCTOS DE FRIO","496","YOGHURT NATURAL SIN AZUCAR X 1 L","4.297,52","1"
"PRODUCTOS SIN TACC","497","PREMEZCLA P/PANIFI S/ TACC X 1 KG","5.694,22","7"
"PRODUCTOS SIN TACC","499","REBOZADOR S/GLUTEN X 500 GR","3.132,23","3"
"SEMILLAS","502","ENELDO SEMILLAS X KG","7.545,45","0"
"SEMILLAS","504","MIX 7 SEMILLAS SALUD X KG","5.553,72","2"
"SEMILLAS","505","MIX DE SLLAS  ADELGAZ X KG","5.520,66","6"
"SEMILLAS","506","MIX SLLAS PARA ENSALADA X KG","6.619,84","1"
"SEMILLAS","507","QUINOA X KG","9.421,49","0"
"SEMILLAS","508","SEMILLA DE AMAPOLA X KG.","13.636,36","2"
"SEMILLAS","509","SEMILLA DE AMARANTO X KG","11.066,12","0"
"VINOS","510","MASTROENI EXTRA BRUT","5.280,99","0"
"SEMILLAS","511","SEMILLA DE CHIA NAC X KG.","9.578,51","23"
"SEMILLAS","513","SEMILLA DE GIRASOL X KG.","5.322,31","21"
"SEMILLAS","514","SEMILLA DE LINO X KG","3.884,30","8"
"SEMILLAS","515","SEMILLA DE ZAPALLO PELADO X KG.","15.776,86","4"
"SEMILLAS","516","SESAMO BLANCO X KG.","6.809,92","4"
"SEMILLAS","517","SESAMO NEGRO X KG","11.190,08","10"
"DULCES, MIEL Y CHOCOLATES","519","GARRAPIÑADA DE MANI X KG","7.066,12","1"
"FRUTOS SECOS","520","MAIZ FRITO SALADO X KG","11.619,83","3"
"FRUTOS SECOS","521","MANI JAPONES","6.578,51","6"
"FRUTOS SECOS","523","MANI TOSTADO SALADO X KG","3.702,48","3"
"FRUTOS SECOS","524","MANI TOSTADO X KG.","3.694,22","0"
"FRUTOS SECOS","525","MIX CERVECERO X KG","6.280,99","5"
"FRUTOS SECOS","528","MIX SALADO X KG","11.132,23","0"
"TOMATE TRITURADO","531","TOMATE TRITURADO X 1 KG","1.239,67","19"
"TOMATE TRITURADO","532","TOMATE TRITURADO X 500 GR","1.016,53","15"
"TOMATE TRITURADO","533","TOMATE CONDIM X 1 KG","3.132,23","10"
"PRODUCTOS DE FRIO","554","YOGURT PROTEICO ""YOGURLAC"" X 1L","7.057,85","1"
"INFUSIONES Y HIERBAS","555","PETALOS DE ROSA XKG","77.730,99","0"
"VINOS","560","LAS PERDICES CAB SAUV X 750","6.702,48","0"
"VINOS","561","MASTROENI CABERNET FRANC X 750 CC","4.421,49","0"
"VINOS","567","LAS PERDICES EXTRA BRUT CORTO X 750","8.024,79","0"
"VINOS","569","LAS PERDICES PARTRIDGE CHARDONNAY X 750","4.859,50","0"
"VINOS","570","LAS PERDICES RESERVA CHARDONNAY X 750","10.082,65","0"
"VINOS","572","MASTROENI ESP DULCE NATURAL X 750 CC","5.355,37","0"
"VINOS","592","CORDERO CON PIEL DEL LOBO X 750CC","4.413,22","0"
"VINOS","593","LAS PERDICES MALBEC X 750","6.702,48","6"
"VINOS","594","LAS PERDICES PARTRIDGE MALBEC X 750","4.859,50","0"
"VINOS","595","LAS PERDICES RESERVA MALBEC X 750","10.082,65","0"
"VINOS","613","PERRO CALLEJERO MALBEC X 750CC","6.487,60","6"
"VINOS","616","LAS PERDICES SAUVI BLANC X 750","6.702,48","6"
"VINOS","622","LAS PERDICES ALA COLORADA ANCELLOTA X 750","13.404,96","0"
"SIN CATEGORÍA","633","VARIOS","0,00","201"
"ACEITES Y VINAGRES","637","ACEITE DE OLIVA  X 500 CC LAUR","10.115,70","4"
"PALADEAR HOME","638","DELANTAL LINO","27.272,73","0"
"VINOS","640","LAS PERDICES BRUT ROSÉ X750ml","7.289,26","5"
"INFUSIONES Y HIERBAS","641","HIBISCUS  FLOR X KG","15.991,74","1"
"INFUSIONES Y HIERBAS","643","TE NEGRO X KG","6.966,94","1"
"FRUTOS SECOS","644","NUEZ MARIPOSA EXTRA LIGHT X KG","13.553,72","8"
"PRODUCTOS SIN TACC","661","FIDEOS DE ARROZ ""PARTY BECK"" X 280GR","2.917,36","0"
"FRUTOS SECOS","665","NUEZ CON CASCARA X KG","5.173,55","10"
"LINEA GOURMET","669","SALSA SOJA X 1 L","9.090,91","2"
"FRUTOS SECOS","670","MANI SABORIZADO X KG","4.454,55","7"
"PRODUCTOS DE FRIO","684","YOGHURT ANANA X 1 L","4.719,01","2"
"ESPECIAS","690","JENGIBRE EN TROZOS XKG","47.933,88","0"
"FRUTOS SECOS","691","ALMENDRA GUARA  X KG","18.033,06","5"
"ACEITES Y VINAGRES","702","ACEITE DE OLIVA   900ML VERDE OLIVA","4.247,93","9"
"SNACK","703","GALLETAS CACHAFAS ORGANICAS","2.305,78","11"
"CEREALES","705","GRANOLA MIX SIN PASAS X KG","6.107,44","6"
"VINOS","706","LA IRIDE ""HUELGA DE AMORES"" X 750ml","4.380,16","4"
"SUPLEMENTOS","711","PROSTASANA X 30 COMPR. ""EL NATURALISTA""","7.350,00","8"
"DULCES, MIEL Y CHOCOLATES","712","MERMELADA MQA X 310","3.380,16","9"
"DULCES, MIEL Y CHOCOLATES","713","MERMELADA MQA FRUTILLA X 310","4.041,32","0"
"LINEA GOURMET","716","MAYONESA ""MAYOV"" X 270GR","4.528,93","5"
"ACEITES Y VINAGRES","719","ACEITE DE OLIVA  3 L VERDE OLIVA","13.247,93","0"
"ACEITES Y VINAGRES","720","ACEITE DE OLIVA  5 L VERDE OLIVA","21.074,38","1"
"CEREALES","722","GRANOLA TRADICIONAL X KG","5.181,82","1"
"CEREALES","723","GRANOLA CON CHOCO X KG","5.942,15","2"
"SIN CATEGORÍA","725","FRUTA MULTICOLOR X KG","7.338,84","3"
"SIN CATEGORÍA","726","PASAS MOROCHAS SIN SEMILLA X KG","4.413,22","4"
"DULCES, MIEL Y CHOCOLATES","728","NUECES CONFITADAS X 100 g","4.958,68","4"
"DULCES, MIEL Y CHOCOLATES","729","ALMENDRAS TOSTADA CON ACEITE DE OLIVA Y SAL","4.000,00","0"
"INFUSIONES Y HIERBAS","737","MIX CITRICOS","29.958,68","0"
"DULCES, MIEL Y CHOCOLATES","751","ALMENDRAS CON CHOCO xKG","36.371,90","4"
"DULCES, MIEL Y CHOCOLATES","752","ARANDANOS CON CHOCO xKG","36.380,17","3"
"DULCES, MIEL Y CHOCOLATES","753","BARRA CHOCO 70% CON STEVIA x 100 g - COLONIAL","3.851,24","3"
"DULCES, MIEL Y CHOCOLATES","754","BARRA CHOCO SIN AZUCAR x 100 g - COLONIAL","3.661,16","28"
"PALADEAR HOME","756","ACEITERO SPRAY x 200 ml","6.611,57","10"
"DULCES, MIEL Y CHOCOLATES","757","GOTITAS DE CHOCO SEMIAMARGO X KG","11.661,16","4"
"DULCES, MIEL Y CHOCOLATES","758","MANI C/CHOCO SEMIAMARGO XKG","17.239,67","0"
"DULCES, MIEL Y CHOCOLATES","759","PASAS DE UVA C/CHOCO XKG","27.231,40","4"
"DULCES, MIEL Y CHOCOLATES","760","AVELLANAS CON CHOCO XKG","39.636,36","4"
"PALADEAR HOME","761","MOLINILLO CAFE MANUAL","20.975,21","4"
"PALADEAR HOME","762","INFUSOR PINZA","1.809,92","6"
"SNACK","764","BARRA MUECAS X45GR","1.380,16","6"
"PRODUCTOS DE FRIO","774","YOGHURT C/FRUTAS X 160","1.561,98","5"
"PRODUCTOS SIN TACC","777","ALFAJORES MAICENA SIN TACC X 6 unidades","3.834,71","9"
"SUPLEMENTOS","781","COLAGENO HIDROLIZADO X KG ""PEPTAN B 2000 LD""","28.652,89","3"
"INFUSIONES Y HIERBAS","782","EUCALIPTUS X KG","10.479,34","1"
"INFUSIONES Y HIERBAS","783","YERBA DEL PLATERO","6.190,08","1"
"INFUSIONES Y HIERBAS","785","TE DE BURRO X KG","17.330,58","0"
"INFUSIONES Y HIERBAS","786","SEN FOLICULOS X KG","30.694,22","0"
"INFUSIONES Y HIERBAS","787","LAVANDA X KG","40.561,98","0"
"INFUSIONES Y HIERBAS","788","CEDRON X KG","28.347,11","0"
"INFUSIONES Y HIERBAS","789","MELISA  X KG","12.074,38","0"
"INFUSIONES Y HIERBAS","790","MENTA HOJAS X KG","18.074,38","0"
"HARINAS","791","HARINA TRIGO SARRACENO X KG","7.099,17","0"
"INFUSIONES Y HIERBAS","793","YERBA MATE DESPALADA KALENA X KG","8.752,07","13"
"SUPLEMENTOS","794","ALOE VERA JUGO X 250 ML ""NATIER""","7.371,90","2"
"PRODUCTOS VARIOS","798","PRESTAMO","0,00","115"
"INFUSIONES Y HIERBAS","799","TE VERDE X KG","6.966,94","1"
"SUPLEMENTOS","800","COLAGENO HIDROLIZADO CAPSULA X 50 CÁPSULAS ""NATIER""","17.586,78","1"
"SUPLEMENTOS","801","RESVERATROL X 50 CÁPSULAS ""NATIER""","16.165,29","2"
"SUPLEMENTOS","802","CURCUMA+PIMIENTA X 50 CÁPSULAS ""NATIER""","17.553,72","0"
"SUPLEMENTOS","803","VINAGRE DE SIDRA DE MANZANA X 50 CÁPSULAS ""NATIER""","14.016,53","3"
"SUPLEMENTOS","804","VITAMINA C  X 50 CÁPSULAS ""NATIER""","17.363,64","3"
